source_make,alias_count,status,models_returned,returned_make_ids,returned_make_names,example_models
THOR MOTOR COACH,58,NO_MODELS_FOUND,0,,,
GRAND DESIGN,35,MODELS_FOUND,10,1336,GRAND DESIGN RECREATIONAL,GRAND DESIGN RECREATIONAL | Solitude | Reflection | Momentum | Imagine | Transcend | Utility Trailer | Silhouette | Influence | Foundation
SCION,24,NO_MODELS_FOUND,0,,,
TIFFIN,21,MODELS_FOUND,6,3481,"Tiffin Motorhomes, Inc",Allegro Bay | Phaeton | Allegro Bus | Zephyr | Breeze | Allegro Red
NEWMAR,19,MODELS_FOUND,2,2631,Newmar Corporation,Newmar Corporation | Newco
FLEETWOOD,18,MODELS_FOUND,42,1055 | 1476 | 4564 | 5638 | 5640 | 5641 | 5642 | 5645 | 5646 | 5647 | 5648 | 5649 | 9660 | 9661,"Fleetwood Enterprises | Fleetwood Enterprises (Avion) | Fleetwood Enterprises (Caribou) | Fleetwood Enterprises (Elkhorn) | Fleetwood Enterprises (Mallard) | Fleetwood Enterprises (Park Models) | Fleetwood Enterprises (Prowler) | Fleetwood Enterprises (Savanna) | Fleetwood Enterprises (Terry) | Fleetwood Enterprises (Wildnerness) | Fleetwood Enterprises, Inc. (Angler) | Fleetwood Enterprises, Inc. (Westport) | Fleetwood Folding Trailers | Fleetwood RV, Inc.",Williamsburg | Bayside | Utah | Santa Fe | Sun Valley | Cheyenne | Arcadia | Niagara | Saratoga | Avalon
INDIAN,18,MODELS_FOUND,105,13443 | 13965 | 1763 | 1768 | 2705 | 4202 | 548 | 6252 | 7640 | 7905 | 8219 | 8227,"Commodore Homes of Indiana | Indian Larry Legacy | Indian Motorcycle | Indian River Trailers Inc | Indiana | Indiana Custom Cargo, Inc | Indiana Phoenix Inc | Indianhead Truck & Body | Performance Indian | Southern Indiana Materials Co Inc | Thor Indiana, Inc. | Winnebago of Indiana",Indian Larry Legacy | Chief | Performance Indian | Indianhead Truck & Body | Chief Classic | Chief Dark Horse | Chief Vintage | Springfield | Chieftain Dark Horse | Chieftan
JAYCO TRAVEL TRAILER,10,NO_MODELS_FOUND,0,,,
DYNAMAX,7,MODELS_FOUND,1,1213,Dynamax Corporation,dynamax
JAYCO FIFTH WHEEL,6,NO_MODELS_FOUND,0,,,
FCCC,4,NO_MODELS_FOUND,0,,,
VANLEIGH,4,MODELS_FOUND,5,4550,Vanleigh RV,Vanleigh RV | Beacon | Pinecrest | Vilano | Ambition
BRINKLEY RV,3,NO_MODELS_FOUND,0,,,
DUTCHMEN,3,MODELS_FOUND,2,860 | 9115,"Dutchmen Manufacturing | Dutchmen Mfg., Inc.","Dutchmen Manufacturing | Dutchmen Mfg., Inc."
GULF STREAM,3,MODELS_FOUND,1,7634,"Gulf Stream Coach, Inc.","Gulf Stream Coach, Inc."
MERCEDES-MAYBACH,3,NO_MODELS_FOUND,0,,,
WABASH NATIONAL,3,NO_MODELS_FOUND,0,,,
4-STAR TRAILER,2,MODELS_FOUND,1,5676,4-Star Trailers Inc.,4-Star Trailers Inc.
AMERICAN COACH,2,NO_MODELS_FOUND,0,,,
BATTLE MOTORS,2,NO_MODELS_FOUND,0,,,
CRUISER RV,2,NO_MODELS_FOUND,0,,,
